date;ticker;stock;close;high;low;open;price_change;volume;volume_dollars
2000-03-17;'000003;Ｂ股指数;37.514;37.552;35.693000000000005;35.693000000000005;1.821;210646;32893000.0
2000-03-16;'000003;Ｂ股指数;35.693000000000005;36.666;35.469;36.614000000000004;-0.921;141370;23587000.0
2000-03-15;'000003;Ｂ股指数;36.614000000000004;36.708;36.365;36.7;-0.086;99879;14692000.0
2000-03-14;'000003;Ｂ股指数;36.7;37.107;36.165;37.107;-0.407;170894;29717000.0
2000-03-13;'000003;Ｂ股指数;37.107;37.107;36.549;36.852;0.255;111329;19248000.0
2000-03-10;'000003;Ｂ股指数;36.852;36.900999999999996;36.602;36.900999999999996;-0.049;109758;18706000.0
2000-03-09;'000003;Ｂ股指数;36.900999999999996;36.958;36.407;36.951;-0.05;125715;20913000.0
2000-03-08;'000003;Ｂ股指数;36.951;36.951;36.516;36.516;0.435;214458;32339000.0
2000-03-07;'000003;Ｂ股指数;36.516;36.516;36.126;36.413000000000004;0.103;123337;25163000.0
2000-03-06;'000003;Ｂ股指数;36.413000000000004;37.602;36.243;37.349000000000004;-0.936;181627;33740000.0
2000-03-03;'000003;Ｂ股指数;37.349000000000004;37.934;37.306;37.847;-0.498;155860;31335000.0
2000-03-02;'000003;Ｂ股指数;37.847;38.114000000000004;37.533;38.108000000000004;-0.261;100464;18148000.0
2000-03-01;'000003;Ｂ股指数;38.108000000000004;38.597;37.893;38.218;-0.11;152305;29984000.0
2000-02-29;'000003;Ｂ股指数;38.218;38.218;37.625;37.832;0.386;197725;40182000.0
2000-02-28;'000003;Ｂ股指数;37.832;37.832;37.286;37.656;0.176;174185;39714000.0
2000-02-25;'000003;Ｂ股指数;37.656;38.158;37.535;38.134;-0.478;175886;40450000.0
2000-02-24;'000003;Ｂ股指数;38.134;38.161;37.605;37.674;0.46;131042;26953000.0
2000-02-23;'000003;Ｂ股指数;37.674;38.354;37.211;38.246;-0.572;244274;46217000.0
2000-02-22;'000003;Ｂ股指数;38.246;39.451;37.926;39.451;-1.205;347258;71061000.0
2000-02-21;'000003;Ｂ股指数;39.451;40.32;38.988;40.092;-0.641;483342;91977000.0
2000-02-18;'000003;Ｂ股指数;40.092;40.116;38.97;39.32;0.772;373997;72591000.0
2000-02-17;'000003;Ｂ股指数;39.32;41.486000000000004;39.074;40.927;-1.607;474542;93767000.0
2000-02-16;'000003;Ｂ股指数;40.927;42.105;40.539;41.523999999999994;-0.597;447409;96281000.0
2000-02-15;'000003;Ｂ股指数;41.523999999999994;44.066;41.325;43.047;-1.523;640764;141855000.0
2000-02-14;'000003;Ｂ股指数;43.047;43.074;40.683;40.717;2.33;658920;119531990.0
2000-01-28;'000003;Ｂ股指数;40.717;41.14;39.768;39.812;0.905;312892;65730000.0
2000-01-27;'000003;Ｂ股指数;39.812;40.361;38.563;38.618;1.194;339355;65008000.0
2000-01-26;'000003;Ｂ股指数;38.618;38.703;38.149;38.162;0.456;122223;21281000.0
2000-01-25;'000003;Ｂ股指数;38.162;38.446999999999996;38.013000000000005;38.119;0.043;194078;35801000.0
2000-01-24;'000003;Ｂ股指数;38.119;38.711;37.802;38.59;-0.471;105992;19467000.0
2000-01-21;'000003;Ｂ股指数;38.59;38.819;38.398;38.73;-0.14;140373;25921000.0
2000-01-20;'000003;Ｂ股指数;38.73;39.010999999999996;38.49;38.503;0.227;182129;32656000.0
2000-01-19;'000003;Ｂ股指数;38.503;38.584;37.769;37.827;0.676;128795;24370000.0
2000-01-18;'000003;Ｂ股指数;37.827;37.951;37.477;37.869;-0.042;89547;17149000.0
2000-01-17;'000003;Ｂ股指数;37.869;38.281;37.616;37.839;0.03;76109;12509000.0
2000-01-14;'000003;Ｂ股指数;37.839;38.355;37.681;38.148;-0.309;68249;11904000.0
2000-01-13;'000003;Ｂ股指数;38.148;38.542;37.8;38.389;-0.241;88555;16904000.0
2000-01-12;'000003;Ｂ股指数;38.389;39.3;38.161;39.231;-0.842;144779;26245000.0
2000-01-11;'000003;Ｂ股指数;39.231;40.369;38.972;40.303000000000004;-1.072;149762;29309000.0
2000-01-10;'000003;Ｂ股指数;40.303000000000004;41.266999999999996;40.126999999999995;40.684;-0.381;348067;64132000.0
2000-01-07;'000003;Ｂ股指数;40.684;41.027;38.981;38.981;1.703;746986;140523010.0
2000-01-06;'000003;Ｂ股指数;38.981;38.981;37.978;38.148;0.833;166137;32226000.0
2000-01-05;'000003;Ｂ股指数;38.148;38.774;37.89;38.150999999999996;-0.003;179915;35512000.0
2000-01-04;'000003;Ｂ股指数;38.150999999999996;38.173;37.415;37.911;0.24;98582;19405000.0
1999-12-30;'000003;Ｂ股指数;37.911;37.911;37.412;37.412;0.499;68836;12211000.0
1999-12-29;'000003;Ｂ股指数;37.412;37.412;36.935;36.935;0.477;44563;8139000.0
1999-12-28;'000003;Ｂ股指数;36.935;37.231;36.733000000000004;37.015;-0.08;48027;9898000.0
1999-12-27;'000003;Ｂ股指数;37.015;37.1;36.619;36.854;0.161;39635;6972000.0
1999-12-24;'000003;Ｂ股指数;36.854;36.854;36.244;36.400999999999996;0.453;37263;6957000.0
1999-12-23;'000003;Ｂ股指数;36.400999999999996;36.968;35.787;35.911;0.49;79712;13570000.0
1999-12-22;'000003;Ｂ股指数;35.911;35.911;35.475;35.709;0.202;33507;6205000.0
1999-12-21;'000003;Ｂ股指数;35.709;36.512;35.374;36.485;-0.776;61727;11572000.0
1999-12-17;'000003;Ｂ股指数;36.485;36.717;36.211999999999996;36.564;-0.079;44258;7818000.0
1999-12-16;'000003;Ｂ股指数;36.564;37.404;36.416;37.253;-0.689;70165;13737000.0
1999-12-15;'000003;Ｂ股指数;37.253;37.466;36.091;36.367;0.886;161391;30550000.0
1999-12-14;'000003;Ｂ股指数;36.367;36.539;36.135999999999996;36.427;-0.06;37986;7174000.0
1999-12-13;'000003;Ｂ股指数;36.427;36.527;36.061;36.129;0.298;57638;11564000.0
1999-12-10;'000003;Ｂ股指数;36.129;36.278;35.585;35.745;0.384;154496;29854000.0
1999-12-09;'000003;Ｂ股指数;35.745;36.72;35.606;36.601;-0.856;134293;24413000.0
1999-12-08;'000003;Ｂ股指数;36.601;37.707;36.469;37.391;-0.79;109662;18960000.0
